
campaigncutscene_tooltip 				（按一下以觸發監獄故事的下一章節）
campaignchapter_locked                  （已鎖定）


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    巴勒莫

campaignchapter_food_description        一場大火摧毀了這所監獄的廚房和食堂。如果我們找不到方法來快速為囚犯供餐，我們將面臨一場全面暴動。\n解決食品危機，然後重建廚房和食堂。

adviser_food_fire_1                     一場危機正在我們的另一個設施醞釀。
adviser_food_fire_2                     有人在監獄的廚房放火。當務之急是將火撲滅，阻止任何人員傷亡和避免更多損失。
adviser_food_fire_3                     使用工具列中的「緊急服務」按鈕呼叫消防隊。
adviser_food_fire_4                     在大火燒毀整所監獄之前，將其控制住！

objective_food_callfirebrigade          呼叫消防部門
objective_food_extinguishflames         熄滅火焰

objective_food_callfirebrigade_description 	要調出消防隊，按一下工具列中的「緊急情況」按鈕，然後按一下「消防員」
objective_food_extinguishflames_description  選擇消防員後，您可以透過按住 H 鍵手動瞄準其消防水管。用這種方法將消防水管集中對準火焰的中心區域。\n\n使消防員儘量靠近起火點 — 他們的工作會更有效。

adviser_food_savedon1                   天啊，廢墟中有個倖存者。
adviser_food_savedon2					我的天啊，是黑手黨頭目巴勒莫。那麼多的囚犯，怎麼偏偏是我們的黑幫老大呢。
adviser_food_donintro2					對他來說，壞消息是，削減預算意味著我們不得不解僱我們所有的常駐醫生。
adviser_food_donintro3				 	好消息是，我們的醫務室仍然可用。雇傭幾位醫生，他們將在我們清理這個爛攤子時照顧黑手黨頭目巴勒莫。

adviser_food_afterfire3                 我們需要把這個爛攤子清理乾淨。
adviser_food_afterfire4                 使用鏟平工具拆除被毀的食堂和廚房。您需要移除所有殘骸。
adviser_food_afterfire6                 在道路旁邊指定一個垃圾區。我們的工人將把殘骸丟棄在那裡，供垃圾車處置。
adviser_food_dismissfiremen1			既然消防員已經完成了他們的任務，您現在終於可以把他們送回家了。
adviser_food_gamespeed                  拆除這些建築將需要花費一段時間。您可以透過使用時鐘下方的按鈕，讓時間過得更快些。

adviser_food_todolist1					我已將有關各目標的更多詳細資訊新增到您的任務清單中。
adviser_food_todolist2					如果您不知道該做什麼，反白顯示目標，您會看到更多說明。

objective_food_buildmedicalward_doctors 雇傭幾位醫生，從而為醫務室配備工作人員

objective_food_DismissAllFiremen		遣散消防員
objective_food_cleararea                清除燒毀的殘骸
objective_food_buildgarbagearea         指定垃圾區
objective_food_clearcanteen             清除食堂殘骸
objective_food_clearkitchen             清除廚房殘骸
objective_food_hiremoreworkmen			（可選）雇傭更多工人以加快拆除速度

objective_food_dismissallfiremen_description 	要遣散緊急調出，在螢幕右側找到他們的圖示，然後按一下紅色 X 圓圈按鈕以送他們回家。
objective_food_cleararea_description 	使用鏟平工具來拆除建築。鏟平工具可在主工具列中的「地基」下找到。

adviser_food_familyvisit1				做得很棒。
adviser_food_familyvisit2 				讓我們來看看我們的人員傷亡情況。

adviser_food_troublesoon1				如果不給吃的，這些囚犯會在一兩天內拆房揭瓦。
adviser_food_troublesoon2 				我們必須確保監獄的安全，免得最終要面臨暴動。
adviser_food_troublesoon3 				這是「部署」螢幕。您可以從這裡控制所有警衛的戰術部署。
adviser_food_troublesoon4 				將警衛分散部署到所有牢房區和房間。指派 10 名警衛駐守在監獄各處的警衛站。就目前而言，這應該足以顯示您的實力。
adviser_food_troublesoon5				我還希望在即將構建新設施的內部庭院附近進行巡邏。
adviser_food_troublesoon6				最後一件事。由於食堂無法發揮作用，有些食品箱已經變質了。在我們受到寄生蟲侵擾前，將它們丟棄。

objective_food_deployguards				在監獄各處部署 10 名警衛
objective_food_deploypatrol				指派 2 名警衛巡邏內部庭院

objective_food_deployguards_description		要部署警衛，打開「部署」螢幕，然後在要創建警衛站的防區內按一下。一名警衛將被自動指派到該警衛站。
objective_food_deploypatrol_description		打開「部署」螢幕，然後選擇「巡邏」。按一下並拖曳滑鼠以畫出您的巡邏路線。\n\n要指派警衛去巡邏，再按一下巡邏區域內的任何方塊。

objective_food_dumpfood 				丟棄變質的糧食
objective_food_dumpfood_description		變質的糧食可能會在監獄東北象限的儲藏櫃中找到。\n\n要丟棄任何項目，請在上面按一下，然後在快顯功能表中按一下「丟棄」。

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				呸......

adviser_food_doninfirmary0              我認為他想說點什麼。
adviser_food_doninfirmary1				這是你們當中哪個狗雜種幹的？
adviser_food_doninfirmary2 				老爸，沒人對您下手。這是個意外。
adviser_food_doninfirmary3 				閉上你的臭嘴，聽好了。你們兩個都是。
adviser_food_doninfirmary4 				要是我知道是你們當中哪個狗雜種放了那把火，我就扭斷你們的臭脖子！
