# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
codex_legal	Yasal
codex_privacy	Gizlilik Politikası
codex_terms-of-use	Kullanım Şartları
codex_eula	Son Kullanıcı Lisans Sözleşmesi

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Duvarlar ve Kapılar
interfacemode_flooring	Zeminler
tunnelsearch_underway	TÜNEL ARANIYOR
tunnelsearch_found	Tüneller
moveobjects_prompt	ÇİFT TIKLAMA: Nesneyi hareket ettir
moveobjects_abort	SAĞ TIKLAMA: Hareket ettirmeyi iptal et

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Çeşitli duvarlar ve kapılar
buildtoolbar_popup_flooring	Çeşitli zemin tipleri
buildtoolbar_popup_spawn	Türeme Menüsünü açar.
buildtoolbar_tunnelsearch	Tünel Ara

buildtoolbar_tooltip_tunnelsearch	Bir kaçma girişimi olacağından mı şüpheleniyorsun? Gardiyanlarına bütün tuvaletlerin arkasını kontrol etmelerini emret.

buildtoolbar_GuardResponse	Gardiyan Müdahalesi
buildtoolbar_tooltip_GuardResponse	Etkinleştirildiğinde, haritada herhangi bir noktaya sol tıklayarak yakınlardaki gardiyanları oraya çağırabilirsin. Ne kadar çok tıklarsan o kadar çok gardiyan gelir. Durmak için sağ tıkla.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Fayans Duvar
material_NewBarredWall	Parmaklıklı Duvar
material_NewBBlockWall	Beyaz Duvar
material_NewHedgeWall	Çalı Çit
material_NewIronFloor	Demir Zemin
material_NewCargoFloor	Kargo Zemini
material_NewCheckeredFloor	Kareli Zemin
material_Snow	Kar


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Bunu takip etmek için sol tuşla çift tıkla *E

quickbuild_intermediatecell	Geliştirilmiş Hücre
quickbuild_holdingcell	Nezarethane
quickbuild_medical	Tıbbi İşler
quickbuild_shop	Dükkân
quickbuild_shower	Duş
quickbuild_staffroom	Personel Odası
quickbuild_workshop	Atölye

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 Haziran 2019
mm_updatenotes_Header	刑務所アップデート
mm_updatenotes_01	4 yeni yer kaplaması ve 4 yeni duvar çeşidi eklendi.
mm_updatenotes_02	Yükleme sürelerini kısaltmak için performans iyileştirmeleri yapıldı.
mm_updatenotes_03	Ustabaşıların eğitim de verdiği daha büyük hapishaneler için, işe alınabilen ustabaşı sayısı arttırıldı.
mm_updatenotes_04	Var olan nesneler artık her yöne döndürülebiliyor, eksik yönlerin görselleri eklendi.
mm_updatenotes_05	Yeni 'Gardiyan Müdahalesi' düğmesi, olay çıktığında konumun yakınındaki gardiyanları oraya yönlendirerek yeni gardiyan işe alma gerekliliğini ortadan kaldırıyor.
mm_updatenotes_06	Yeni 'Tünel Ara' düğmesiyle gardiyanlara tuvaletleri özellikle gizli kaçış tüneli için bulma emri verilebiliyor.
mm_updatenotes_07	Odaların daha kolay ve hızlı inşa edilebilmesi için Hızlı İnşaat bölümüne yeni odalar eklendi.
mm_updatenotes_08	Mahkumları ve personeli takip etmek, üstlerine çift tıklayınca çok daha kolay.
mm_updatenotes_09	Nesneleri hareket ettirme ve yerlerini değiştirme işlevi eklendi! Bir nesneyi seçip çift tıklayın.
mm_updatenotes_10	Umarız yaptığımız geliştirmelerle oynamaktan keyif alırsınız!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Çamur
material_mud	Çamur
material_yutaniwall	Duvar (Yutani)










material_solacofloor	Solaco
material_gratefloor	Kafes

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Ağaç (Karlı Çam)


object_palmtree	Ağaç (Palmiye)
object_plant	Bitki

object_bush	Çalı

object_streetlamp	Sokak Lambası

object_floodlight	Işık (Projektör)








object_bleachers	Stadyum Sırası
object_smallbench	Bank (Küçük)
object_smalltable	Masa (Küçük)
object_showerpillar	Duş Direği


object_doorMat	Paspas

object_GuardPavilion	Gardiyan Kulesi
object_GuardPavilionCorner	Gardiyan Kulesi (Köşe)

object_OfficeChair	Sandalye (Ofis)




















object_visitorDoor	Ziyaretçi Kapısı
object_ironingBoardShort	Ütü Masası (Küçük)
object_fencegatestaff	Çit Kapısı (Personel)
object_fencegatestandard	Çit Kapısı (Standart)
