
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Új
dialog_load                             Töltés
dialog_save                             Mentés
dialog_saveas                           Mentés másként
dialog_delete                           Törlés
dialog_width                            Szélesség
dialog_height                           Magasság
dialog_name                             Név
dialog_type                             típus
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                Sz
dialog_h                                M
dialog_exit                             Kilépés
dialog_cancel                           Megszakítás
dialog_ok                               OK
dialog_open                             Megnyitás
dialog_close                            Bezárás
dialog_closed                           Lezárva
dialog_add                              Hozzáad
dialog_up                               Fel
dialog_down                             Le
dialog_yes                              Igen
dialog_no                               Nem
dialog_loading                          Töltés…
dialog_low                              Alacsony
dialog_medium                           Közepes
dialog_high                             Magas
dialog_none                             Nincs
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Párbeszéd-szerkesztő
dialogeditor_back                       Hátra
dialogeditor_front                      Előre
dialogeditor_reloadlanguage             Nyelv újratöltése
dialogeditor_test                       Teszt
dialogeditor_window                     Ablak
dialogeditor_grid                       Rács
dialogeditor_caption                    Szöveg
dialogeditor_component                  Komponens
dialogeditor_select						Kiválaszt
dialogeditor_create						Létrehoz
dialogeditor_background                 HT kép
dialogeditor_panel                      Panel

dialogcomponent_custom                  Egyedi
dialogcomponent_button                  Gomb
dialogcomponent_container               Konténer
dialogcomponent_caption                 Szöveg
dialogcomponent_titlecaption            CímSzöveg
dialogcomponent_checkbox                Jelölőnégyzet
dialogcomponent_inputfield              Beviteli mező
dialogcomponent_inputslider             Beviteli csúszka
dialogcomponent_dropdownmenu            Legördülő menü
dialogcomponent_selectionlist           Választási lista
dialogcomponent_selectionlistitem       Választási Lista Tárgy
dialogcomponent_scrollbar               Gördítősáv
dialogcomponent_progressbar             Folyamatjelző sáv
dialogcomponent_canvas                  Vászon
dialogcomponent_iconbox					Ikondoboz

dialogposition_absolute                 Rögzített
dialogposition_relative                 Relatív
dialogposition_scaled                   Arányos


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Név
profiler_timings                        Időzítések
profiler_totaltime                      Teljes
profiler_glfinishcaption                glFinish
profiler_reset                          Újraállítás


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Hangcsatornák
soundeditor_title                       Hangszerkesztő
soundinstanceeditor_title				Hangszakasz-szerkesztő

soundeditor_positiontitle		        Pozíció típus
