# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
codex_legal	Légal
codex_privacy	Politique de Confidentialité
codex_terms-of-use	Conditions D'utilisation
codex_eula	Accord de Licence D'utilisateur final

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Murs & portes
interfacemode_flooring	Revêtements
tunnelsearch_underway	RECHERCHE DE TUNNEL EN COURS
tunnelsearch_found	Tunnels
moveobjects_prompt	DOUBLE-CLIC : déplacer objet
moveobjects_abort	CLIC-DROIT : annuler déplacement

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Différents types de mur et de porte
buildtoolbar_popup_flooring	Différents types de revêtement
buildtoolbar_popup_spawn	Ouvrir le Menu d'apparition.
buildtoolbar_tunnelsearch	Recherche de tunnel

buildtoolbar_tooltip_tunnelsearch	Vous soupçonnez une tentative d'évasion ? Ordonnez à vos gardes de faire une recherche de tunnel derrière toutes les toilettes.

buildtoolbar_GuardResponse	Réaction des gardes
buildtoolbar_tooltip_GuardResponse	Lorsque cette option est activée, vous pouvez appeler les gardes alentour à un endroit précis de la carte (clic gauche). Plus vous cliquez, plus les gardes sont nombreux. Faites un clic-droit pour annuler.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Mur carrelé
material_NewBarredWall	Mur avec barreaux
material_NewBBlockWall	Mur blanc
material_NewHedgeWall	Haie
material_NewIronFloor	Revêtement métallique
material_NewCargoFloor	Revêtement cargo
material_NewCheckeredFloor	Revêtement carrelage
material_Snow	Neige


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Double-clic pour suivre ceci *E

quickbuild_intermediatecell	Cellule améliorée
quickbuild_holdingcell	Cellule d'attente
quickbuild_medical	Infirmerie
quickbuild_shop	Magasin
quickbuild_shower	Douche
quickbuild_staffroom	Salle du personnel
quickbuild_workshop	Atelier

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 juin 2019
mm_updatenotes_Header	Mise à jour “La taule”
mm_updatenotes_01	Ajout de 4 nouveaux revêtements carrelés et 4 nouveaux revêtements de mur.
mm_updatenotes_02	Améliorations des performances, pour réduire les temps de chargement.
mm_updatenotes_03	Augmentation du nombre de contremaîtres que vous pouvez embaucher, pour les prisons les plus grandes dans lesquelles les contremaîtres offrent une formation.
mm_updatenotes_04	Les objets existants disposent désormais d'un set complet de rotations, avec de nouveaux sprites pour les orientations qui manquaient jusqu'ici.
mm_updatenotes_05	Nouvelle fonction 'Réaction des gardes' qui appelle tous les gardes alentour à un endroit précis. Jusqu'ici, les joueurs devaient embaucher des gardes supplémentaires pour s'occuper des incidents.
