
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新建
dialog_load	載入
dialog_save	儲存
dialog_saveas	另存新檔
dialog_delete	刪除
dialog_width	寬度
dialog_height	高度
dialog_name	名稱
dialog_type	類型
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	退出
dialog_cancel	取消
dialog_ok	確定
dialog_open	打開
dialog_close	關閉選項
dialog_closed	已關閉
dialog_add	新增
dialog_up	上
dialog_down	下
dialog_yes	是
dialog_no	無
dialog_loading	正在載入...
dialog_low	低
dialog_medium	中
dialog_high	高
dialog_none	無
ellipsis	...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	對話方塊編輯器
dialogeditor_back	返回
dialogeditor_front	正面
dialogeditor_reloadlanguage	重新載入語言
dialogeditor_test	測試
dialogeditor_window	窗
dialogeditor_grid	坐標方格
dialogeditor_caption	說明
dialogeditor_component	元件
dialogeditor_select	選擇
dialogeditor_create	建立
dialogeditor_background	背景圖
dialogeditor_panel	面板

dialogcomponent_custom	定制
dialogcomponent_button	按鈕
dialogcomponent_container	容器
dialogcomponent_caption	說明
dialogcomponent_titlecaption	標題說明
dialogcomponent_checkbox	核取方塊
dialogcomponent_inputfield	輸入欄位
dialogcomponent_inputslider	輸入滑桿
dialogcomponent_dropdownmenu	下拉式功能表
dialogcomponent_selectionlist	選擇清單
dialogcomponent_selectionlistitem	選擇清單項目
dialogcomponent_scrollbar	捲軸
dialogcomponent_progressbar	進度列
dialogcomponent_canvas	畫布
dialogcomponent_iconbox	IconBox

dialogposition_absolute	絕對
dialogposition_relative	相對
dialogposition_scaled	縮放


# =============================================================================
# Profiler
# =============================================================================

profiler_title	分析工具
profiler_name	名稱
profiler_timings	計時
profiler_totaltime	總計
profiler_glfinishcaption	glFinish
profiler_reset	重設


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title	聲道
soundeditor_title	音效編輯器
soundinstanceeditor_title	音效實例編輯器

soundeditor_positiontitle	位置類型
soundeditor_instancetitle	實例類型
soundeditor_looptitle	循環類型
soundeditor_sourcetypetitle	音效類型
soundeditor_soundnametitle	音效名稱

soundeditor_volumetitle	音量
soundeditor_frequencytitle	頻率
soundeditor_mindistancetitle	最小距離
soundeditor_attacktitle	攻擊
soundeditor_sustaintitle	維持
soundeditor_releasetitle	釋放
soundeditor_loopdelaytitle	循環延遲
soundeditor_dsptitle	DSP
soundeditor_nexteventtitle	下一個事件

soundeditor_play	開始遊戲
soundeditor_stop	停止

soundparametereditor_title	音效參數
soundparametereditor_typetitle	類型
soundparametereditor_linktitle	連結至
soundparametereditor_updatetitle	更新類型
soundparametereditor_smoothing	清除
soundparametereditor_chaintitle	鏈接

soundeditor_newdsp	新增 DSP
sounddspeditor_title	DSP 編輯器
samplebankeditor_title	範例庫編輯器
samplebankeditor_addsample	新增音效
samplebank	（範例庫）


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done	完成
interfacemode_destroy	摧毀
interfacemode_foundations	地基
interfacemode_construction	材料
interfacemode_planning	規劃
interfacemode_objects	物品
interfacemode_designation	房間
interfacemode_utilities	公用事業設施
interfacemode_staff	工作人員
interfacemode_deployment	部署
interfacemode_logistics	物流
interfacemode_prisoners	囚犯
interfacemode_needs	需求
interfacemode_threats	威脅
interfacemode_overlays	覆蓋圖
interfacemode_research	官僚機構
interfacemode_emergencies	緊急情況
interfacemode_clone	克隆
interfacemode_contraband	情報
interfacemode_grading	評分
interfacemode_spawn	（繁衍）
interfacemode_properties	（屬性）
interfacemode_cutscenes	（情境）
interfacemode_selection	選擇
interfacemode_prefabs	快速建造

interfaceoverlay_security	安全
interfaceoverlay_patrols	巡邏
interfaceoverlay_decay	腐爛
interfaceoverlay_territory	領地
interfaceoverlay_contraband	違禁品

interfaceproperty_indoor	室內
interfaceproperty_visible	可見
interfaceproperty_territoryprisoner	團夥
interfaceproperty_territoryguard	警衛
interfaceproperty_sectorprisoner	暴動
interfaceproperty_tunnel	地道

interfacedeployment_guards	警衛
interfacedeployment_patrols	警衛巡邏
interfacedeployment_dogpatrols	警犬巡邏
interfacedeployment_armedpatrols	武裝巡邏
interfacedeployment_removeguards	移除警衛
interfacedeployment_clearpatrols	清除巡邏
interfacedeployment_targetting	物流
interfacedeployment_targettingfood	食品物流
interfacedeployment_targettinglaundry	洗衣房物流
interfacedeployment_securearea	安全區
interfacedeployment_sharedzone	共用
interfacedeployment_staffonlyzone	工作人員專用
interfacedeployment_maxseczone	最高安全級別囚犯專用
interfacedeployment_medseczone	中等安全級別囚犯專用
interfacedeployment_minseczone	最低安全級別囚犯專用
interfacedeployment_protectedzone	受保護囚犯專用
interfacedeployment_supermaxzone	超高安全級別囚犯專用
interfacedeployment_deathrowzone	死囚區專用
interfacedeployment_unlockedzone	已解鎖
interfacedeployment_zonered	紅色側翼
interfacedeployment_zonegreen	綠色側翼
interfacedeployment_zoneblue	藍色側翼
interfacedeployment_zoneyellow	黃色側翼
interfacedeployment_zoning	分區
interfacedeployment_accessonly	限制進入
interfacedeployment_prisonerdirection	囚犯方向
interfacedeployment_staffdirection	其他方向

interfacelogistics_jobs	監獄勞役
interfacelogistics_removejobs	移除勞工
interfacelogistics_targettingfood	食物配送
interfacelogistics_targettinglaundry	洗好的衣服配送
interfacelogistics_roomquality	房間質量
interfacelogistics_weathermap	溫度

interfaceplanning_wall	墻壁
interfaceplanning_object	物品
interfaceplanning_route	路徑
interfaceplanning_clear	清除
interfaceplanning_zone1	1 區
interfaceplanning_zone2	2 區
interfaceplanning_zone3	3 區
interfaceplanning_zone4	4 區
interfaceplanning_zone5	5 區
interfaceplanning_zone6	6 區
interfaceplanning_zone7	7 區
interfaceplanning_zone8	8 區
interfaceplanning_zone9	9 區

interfacecontraband_source	危險
interfacecontraband_day	-24 小時
interfacecontraband_week	-7 天
interfacecontraband_alltime	-30 天
interfacecontraband_stolenfrom	竊取自
interfacecontraband_informants	線人
interfacecontraband_gangs	團夥

interfacecallout_fireengine	消防車
interfacecallout_riotpolice	鎮暴警察
interfacecallout_armedpolice	武裝警察
interfacecallout_paramedics	醫護人員
interfacecallout_soldiers	士兵

interfaceclone_copy	複製
interfaceclone_paste	粘貼
interfaceclone_cancel	取消快速建造
interfaceclone_clone	複製

interfacetopbar_todo	任務
interfacetopbar_balance	銀行 *B
interfacetopbar_budget	現金流 *C
interfacetopbar_income	收入 *I
interfacetopbar_expenses	成本 *C
interfacetopbar_day	第 *D 天

interfacetopbar_title_balance	銀行餘額
interfacetopbar_title_budget	每日現金流
interfacetopbar_title_cctv	閉路電視
interfacetopbar_title_day	天數
interfacetopbar_title_prisoners	囚犯
interfacetopbar_title_guards	警衛
interfacetopbar_title_tension	危險
interfacetopbar_title_weathericon	天氣

interfacetopbar_tooltip_balance	您的銀行存款數目。\n\n按一下可透過「津貼任務」清單籌集更多資金。
interfacetopbar_tooltip_budget	每天將獲得的資金數目，具體取決於您目前的開支和收入。\n\n按一下可存取收支的詳細財務分類細目。
interfacetopbar_tooltip_cctv	您目前擁有的閉路電視攝像機和監視器的數目。
interfacetopbar_tooltip_day	您已運營監獄的時長。
interfacetopbar_tooltip_prisoners	您的監獄目前擁有以及可以關押的囚犯數目。
interfacetopbar_tooltip_guards	您的監獄中可以工作的警衛數目。
interfacetopbar_tooltip_tension	安保主管報告的監獄整體危險級別。
interfacetopbar_tooltip_weathericon	目前天氣和氣溫。

interfacetopbar_tooltip_recenttransactions	最近交易

interfacetopbar_tooltip_gametime	遊戲總用時：*X 小時 *Y 分 *Z 秒

interfacetopbar_tooltip_totalguards	總計 *X 名警衛
interfacetopbar_tooltip_guardincapacitated	*X 名喪失工作能力
interfacetopbar_tooltip_guardstationed	*X 名駐守在各處
interfacetopbar_tooltip_guardpatrolling	*X 名正在巡邏
interfacetopbar_tooltip_guardavailable	*X 名可用
interfacetopbar_tooltip_guardresting	*X 名正在休息
interfacetopbar_tooltip_guardonbreak	*X 個人休息中
interfacetopbar_tooltip_guardwantsabreak	(*X 個人需要休息)
interfacetopbar_tooltip_guardactive	（*X 名正在應對事件）
interfacetopbar_tooltip_guarddoingjob	*X 名正在執行任務
interfacetopbar_tooltip_idle	（*X 名空閒）
interfacetopbar_tooltip_guardsstriking	*X 個人罷工中

interfacetopbar_tooltip_regularguards	有 *X 名一般警衛
