# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
codex_legal	Juridik
codex_privacy	Integritetspolicy
codex_terms-of-use	Villkor
codex_eula	Slutanvändarlicensavtal

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Väggar och dörrar
interfacemode_flooring	Golv
tunnelsearch_underway	TUNNELSÖKNING PÅGÅR
tunnelsearch_found	Tunnlar
moveobjects_prompt	DUBBELKLICKA: Flytta objekt
moveobjects_abort	HÖGERKLICKA: Avbryt förflyttningar

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Olika sorters väggar och dörrar
buildtoolbar_popup_flooring	Olika sorters golv
buildtoolbar_popup_spawn	Öppna spawnmenyn.
buildtoolbar_tunnelsearch	Tunnelsökning

buildtoolbar_tooltip_tunnelsearch	Misstänker du att någon försöker fly? Beordra dina vakter att leta bakom toaletterna.

buildtoolbar_GuardResponse	Vaktanrop
buildtoolbar_tooltip_GuardResponse	Med alternativet aktiverat kan du vänsterklicka på kartan för att kalla på vakter. Ju fler klick, desto fler vakter. Högerklicka för att avbryta.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Kakelvägg
material_NewBarredWall	Gallervägg
material_NewBBlockWall	Vit vägg
material_NewHedgeWall	Häck
material_NewIronFloor	Järngolv
material_NewCargoFloor	Lagergolv
material_NewCheckeredFloor	Rutigt golv
material_Snow	Snö


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Dubbelklicka för att följa *E

quickbuild_intermediatecell	Förbättrad cell
quickbuild_holdingcell	Förvarscell
quickbuild_medical	Sjukvård
quickbuild_shop	Butik
quickbuild_shower	Dusch
quickbuild_staffroom	Personalrum
quickbuild_workshop	Verkstad

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 juni 2019
mm_updatenotes_Header	Обновление «Тюрячка»
mm_updatenotes_01	Fyra nya golv och fyra nya väggar tillagda.
mm_updatenotes_02	Prestandaförbättringar som kortar ner laddningstiderna.
mm_updatenotes_03	Ökade antalet förmän som kan anställas, för större fängelser där förmän även håller kurser.
mm_updatenotes_04	Befintliga föremål har fått fullständiga rotationsuppsättningar, med sprites tillagda för saknade rotationer.
mm_updatenotes_05	Ny knapp för vaktanrop som beordrar befintliga vakter i närheten till en plats, så spelaren slipper anställa nya vakter för att hantera indicenter.
mm_updatenotes_06	Ny knapp för tunnelsökning som beordrar vakter att genomsöka alla toaletter efter flykttunnlar.
mm_updatenotes_07	Fler snabbrum tillagda i menyn med snabbyggen, för enklare och snabbare konstruktion av rum.
mm_updatenotes_08	Dubbelklicka på fångar och personal för att följa dem. Smidigt!
mm_updatenotes_09	Nu går det att flytta föremål! Välj ett föremål och dubbelklicka på det.
mm_updatenotes_10	Vi hoppas att ni gillar förbättringarna!



############################### SLAMMER UPDATE ###############################

# =============================================================================
