
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nytt
dialog_load	Ladda
dialog_save	Spara
dialog_saveas	Spara som
dialog_delete	Radera
dialog_width	Bredd
dialog_height	Höjd
dialog_name	Namn
dialog_type	Typ
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	Avsluta
dialog_cancel	Avbryt
dialog_ok	Ok
dialog_open	Öppna
dialog_close	Stäng
dialog_closed	Stängt
dialog_add	Lägg till
dialog_up	Upp
dialog_down	Ner
dialog_yes	Ja
dialog_no	Nej
dialog_loading	Laddar…
dialog_low	Låg
dialog_medium	Mellan
dialog_high	Hög
dialog_none	Ingen
ellipsis	…


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	Dialogredigerare
dialogeditor_back	Bakom
dialogeditor_front	Framför
dialogeditor_reloadlanguage	Ladda om språk
dialogeditor_test	Testa
dialogeditor_window	Fönster
dialogeditor_grid	Rutnät
dialogeditor_caption	Bildtext
dialogeditor_component	Komponent
dialogeditor_select	Välj
dialogeditor_create	Skapa
dialogeditor_background	Bakgrundsbild
dialogeditor_panel	Panel

dialogcomponent_custom	Anpassad
dialogcomponent_button	Knapp
dialogcomponent_container	Behållare
dialogcomponent_caption	Bildtext
dialogcomponent_titlecaption	Rubrik
dialogcomponent_checkbox	Kryssruta
dialogcomponent_inputfield	Inmatningsfält
dialogcomponent_inputslider	Inmatningskontroll
dialogcomponent_dropdownmenu	Rullgardinsmeny
dialogcomponent_selectionlist	Urvalslista
dialogcomponent_selectionlistitem	Posturvalslista
dialogcomponent_scrollbar	Rullningsfält
dialogcomponent_progressbar	Framstegsfält
dialogcomponent_canvas	Målarduk
dialogcomponent_iconbox	Ikonruta

dialogposition_absolute	Absolut
dialogposition_relative	Relativ
dialogposition_scaled	Dimensionerad


# =============================================================================
# Profiler
# =============================================================================

profiler_title	Profilerare
profiler_name	Namn
profiler_timings	Timings
