
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова игра
dialog_load                             Зареди
dialog_save                             Запази
dialog_saveas                           Запази като
dialog_delete                           Изтрий
dialog_width                            Широчина
dialog_height                           Височина
dialog_name                             Име
dialog_type                             Вид
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Изход
dialog_cancel                           Отмени
dialog_ok                               Ok
dialog_open                             Отвори
dialog_close                            Затвори
dialog_closed                           Затворено
dialog_add                              Добави
dialog_up                               Нагоре
dialog_down                             Надолу
dialog_yes                              Да
dialog_no                               Не
dialog_loading                          Зареждане...
dialog_low                              Ниско
dialog_medium                           Средно
dialog_high                             Високо
dialog_none                             Няма
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Редактор на диалог
dialogeditor_back                       Назад
dialogeditor_front                      Напред
dialogeditor_reloadlanguage             Презареди език
dialogeditor_test                       Тест
dialogeditor_window                     Прозорец
dialogeditor_grid                       Мрежа
dialogeditor_caption                    Обяснения
dialogeditor_component                  Компонент
dialogeditor_select						Избери
dialogeditor_create						Създай
dialogeditor_background                 BG img
dialogeditor_panel                      Панел

dialogcomponent_custom                  Индивидуален
dialogcomponent_button                  Бутон
dialogcomponent_container               Контейнер
dialogcomponent_caption                 Обяснения
dialogcomponent_titlecaption            Заглавие
dialogcomponent_checkbox                Отметка
dialogcomponent_inputfield              Поле за въвеждане
dialogcomponent_inputslider             Плъзгач за въвеждане
dialogcomponent_dropdownmenu            Падащо меню
dialogcomponent_selectionlist           Списък за избор
dialogcomponent_selectionlistitem       Обект от списъка за избор
dialogcomponent_scrollbar               Скролбар
dialogcomponent_progressbar             Индикатор на прогрес
dialogcomponent_canvas                  Платно
dialogcomponent_iconbox					Поле за икона

dialogposition_absolute                 Абсолютна
dialogposition_relative                 Относителна
dialogposition_scaled                   Мащабирана


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Профайлър
profiler_name                           Име
profiler_timings                        Време
profiler_totaltime                      Общо
profiler_glfinishcaption                glFinish
profiler_reset                          Нулиране


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Аудио канали
soundeditor_title                       Аудио редактор
soundinstanceeditor_title				Редактор за звук

soundeditor_positiontitle		        Вид позиция
soundeditor_instancetitle		        Вид пример
soundeditor_looptitle			        Вид повтаряне
soundeditor_sourcetypetitle		        Вид звук
soundeditor_soundnametitle		        Име на звук

soundeditor_volumetitle			        Сила
soundeditor_frequencytitle              Честота
soundeditor_mindistancetitle            Мин. разстояние
soundeditor_attacktitle                 Атака
soundeditor_sustaintitle                Състейн
soundeditor_releasetitle                Затихване
soundeditor_loopdelaytitle              Забавяне на повтарянето
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Следващо събитие

soundeditor_play                        Пусни
soundeditor_stop                        Спри

soundparametereditor_title              Аудио параметър
soundparametereditor_typetitle          Вид
soundparametereditor_linktitle          Свързан с
soundparametereditor_updatetitle        Вид ъпдейт
soundparametereditor_smoothing          Изглаждане
soundparametereditor_chaintitle         Верига

soundeditor_newdsp                      Добави DSP
sounddspeditor_title                    DSP редактор
samplebankeditor_title                  Редактор на семпли
samplebankeditor_addsample              Добави звук
samplebank                              (Колекция от семпли)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Готово
interfacemode_destroy                         Разруши
interfacemode_foundations				      Основи
interfacemode_construction                    Материали
interfacemode_planning                        Планиране
interfacemode_objects                         Обекти
interfacemode_designation                     Стаи
interfacemode_utilities                       Ток/вода
interfacemode_staff                           Персонал
interfacemode_deployment                      Разпределение
interfacemode_logistics                       Логистика
interfacemode_prisoners                       Затворници
interfacemode_needs                           Нужди
interfacemode_threats                         Заплахи
interfacemode_overlays                        Припокривания
interfacemode_research                        Бюрокрация
interfacemode_emergencies                     Спешни
interfacemode_clone                           Копие
interfacemode_contraband                      Информация
interfacemode_grading                         Оценка
interfacemode_spawn                           (Поява)
interfacemode_properties                      (Свойства)
interfacemode_cutscenes                       (Видео)
interfacemode_selection                       Избери
interfacemode_prefabs                         Бързо изграждане

interfaceoverlay_security                       Охрана
interfaceoverlay_patrols                        Патрули
interfaceoverlay_decay                          Влошаване
interfaceoverlay_territory                      Територия
interfaceoverlay_contraband                     Контрабанда

interfaceproperty_indoor                        Вътре
interfaceproperty_visible                       Видим
interfaceproperty_territoryprisoner             Банди
interfaceproperty_territoryguard                Надзиратели
interfaceproperty_sectorprisoner                Бунт
interfaceproperty_tunnel                        Тунел

interfacedeployment_guards                      Надзиратели
interfacedeployment_patrols                     Патрули от пазачи
interfacedeployment_dogpatrols                  Патрули с кучета
interfacedeployment_armedpatrols                Въоръжени патрули
interfacedeployment_removeguards                Премахни пазачи
interfacedeployment_clearpatrols                Изчисти патрули
interfacedeployment_targetting                  Логистика
interfacedeployment_targettingfood              Логистика на храна
interfacedeployment_targettinglaundry           Логистика на пране
interfacedeployment_securearea                  Безопасна област
interfacedeployment_sharedzone                  Общо
interfacedeployment_staffonlyzone               Само за персонал
interfacedeployment_maxseczone                  Само за макс. сиг.
interfacedeployment_medseczone                  Само за ср. сиг.
interfacedeployment_minseczone                  Само за мин. сиг.
interfacedeployment_protectedzone               Само защита
interfacedeployment_supermaxzone                Само за супер макс.
interfacedeployment_deathrowzone                Само за смърт. прис.
interfacedeployment_unlockedzone                Отключено
interfacedeployment_zonered                     Червено крило
interfacedeployment_zonegreen                   Зелено крило
interfacedeployment_zoneblue                    Синьо крило
interfacedeployment_zoneyellow                  Жълто крило
interfacedeployment_zoning                      Зониране
interfacedeployment_accessonly					Ограничен достъп
interfacedeployment_prisonerdirection			По посока към затворника
interfacedeployment_staffdirection				По посока към другите

interfacelogistics_jobs                         Труд в затвора
interfacelogistics_removejobs                   Премахни труд
interfacelogistics_targettingfood               Разпред. на храна
interfacelogistics_targettinglaundry            Разпред. на пране
interfacelogistics_roomquality                  Кач-во на стая
interfacelogistics_weathermap                   Температура

interfaceplanning_wall							Стени
interfaceplanning_object						Обекти
interfaceplanning_route							Маршрути
interfaceplanning_clear							Изчисти
interfaceplanning_zone1							Зона 1
interfaceplanning_zone2							Зона 2
interfaceplanning_zone3							Зона 3
interfaceplanning_zone4							Зона 4
interfaceplanning_zone5							Зона 5
interfaceplanning_zone6							Зона 6
interfaceplanning_zone7							Зона 7
interfaceplanning_zone8							Зона 8
interfaceplanning_zone9							Зона 9

interfacecontraband_source                      Опасности
interfacecontraband_day                         -24 часа
interfacecontraband_week                        -7 дни
interfacecontraband_alltime                     -30 дни
interfacecontraband_stolenfrom					Откраднато от
interfacecontraband_informants                  Доносници
interfacecontraband_gangs                       Банди

interfacecallout_fireengine                     Противопожарен автомобил
interfacecallout_riotpolice                     Жандармерия
interfacecallout_armedpolice                    Въоръжена полиция
interfacecallout_paramedics                     Неотложна медицинска помощ
interfacecallout_soldiers                       Войници

interfaceclone_copy                             Копирай
interfaceclone_paste                            Постави
interfaceclone_cancel                           Отмяна на бързо изграждане
interfaceclone_clone                            Клониране

interfacetopbar_todo							Задачи
interfacetopbar_balance							Банка *B
interfacetopbar_budget							Оборот *C
interfacetopbar_income							Приходи *I
interfacetopbar_expenses						Разходи *C
interfacetopbar_day								ДЕН *D

interfacetopbar_title_balance					Банков баланс
interfacetopbar_title_budget					Дневен оборот
interfacetopbar_title_cctv						Камери
interfacetopbar_title_day						Ден
interfacetopbar_title_prisoners					Затворници
interfacetopbar_title_guards					Надзиратели
interfacetopbar_title_tension                   Опасност
interfacetopbar_title_weathericon               Атмосферни условия

interfacetopbar_tooltip_balance					Колко пари имате в банката.\n\nЩракнете за събиране на повече средства чрез списъка с Дарения.
interfacetopbar_tooltip_budget					Парите, които ще получавате всеки ден въз основа на текущите ви приходи и разходи.\n\nЩракнете, за да получите подробна финансова информация за приходите и разходите.
interfacetopbar_tooltip_cctv					Броят на камерите за наблюдение и мониторите, които имате.
interfacetopbar_tooltip_day						От колко време управлявате затвора.
interfacetopbar_tooltip_prisoners				Броят на затворниците, които имате в момента и колко можете да поберете в затвора.
interfacetopbar_tooltip_guards					Броят на надзирателите, които работят в затвора.
interfacetopbar_tooltip_tension                 Общото ниво на опасност в затвора според началника на охраната.
interfacetopbar_tooltip_weathericon             Текущите атмосферни условия и температура.

interfacetopbar_tooltip_recenttransactions      Последни транзакции

interfacetopbar_tooltip_gametime                Общо изиграно време: *X часа, *Y минути, *Z секунди

interfacetopbar_tooltip_totalguards             *X общо пазачи
interfacetopbar_tooltip_guardincapacitated      *X недееспособни
interfacetopbar_tooltip_guardstationed          *X на пост
interfacetopbar_tooltip_guardpatrolling         *X патрулират
interfacetopbar_tooltip_guardavailable          *X свободни
interfacetopbar_tooltip_guardresting            *X почиват
interfacetopbar_tooltip_guardonbreak            *X почиват
interfacetopbar_tooltip_guardwantsabreak        (*X се нуждаят от почивка)
interfacetopbar_tooltip_guardactive             (*X занимават се с инциденти)
interfacetopbar_tooltip_guarddoingjob           *X работят
interfacetopbar_tooltip_idle                    (*X изчакват)
interfacetopbar_tooltip_guardsstriking          *X СТАЧКУВАТ

interfacetopbar_tooltip_regularguards			Има *X обикновени пазачи
interfacetopbar_tooltip_armedguards             Има *X въоръжени пазачи
interfacetopbar_tooltip_dogs                    Има *X пазачи с кучета
interfacetopbar_tooltip_snipers					Има *X снайпериста

interfacetopbar_unlimitedfunds                  НЕОГРАНИЧЕНИ СРЕДСТВА
interfacetopbar_cheatsenabled					МАМЕНЕТО АКТИВИРАНО

interfacetopbar_budget_moneyin					Приходи: $*M /ден
interfacetopbar_budget_moneyout					Разходи: $*M /ден
interfacetopbar_budget_cantgonegative           Не можете да имате отрицателен паричен оборот (т.е. разходите да са по-високи от приходите), докато не наемете Счетоводител, който да се грижи за финансите.

interfacetopbar_prisoners_types					В затвора се намират *X затворници:
interfacetopbar_prisoners_capacity              Максимален капацитет: *X
interfacetopbar_prisonercells_shared            Капацитет, общи: *X
interfacetopbar_prisonercells_unlocked          Капацитет, отключени: *X
interfacetopbar_prisonercells_minseconly        Капацитет мин. сиг.: *X
interfacetopbar_prisonercells_medseconly        Капацитет ср. сиг.: *X
interfacetopbar_prisonercells_maxseconly        Капацитет макс. сиг.: *X
interfacetopbar_prisonercells_protectedonly     Капацитет, защитени: *X
interfacetopbar_prisonercells_supermaxonly      Капацитет супер макс.: *X
interfacetopbar_prisonercells_deathrowonly      Капацитет смърт. прис.: *X
interfacetopbar_prisonercells_staffonly         Недостъпни: *X
interfacetopbar_prisoners_nocells               *X затворници не могат да се изпратят в килия
interfacetopbar_prisonercells_parents           Родителски капацитет: *X

interfacetopbar_cctv_current					В момента работят *C камери
interfacetopbar_cctv_cap						Място за *C камери

interfacetopbar_tension_currentlevel            Нивото на опасност е *X
interfacetopbar_tension_currentlevellow         Нисък
interfacetopbar_tension_currentlevelmedium      Среден
interfacetopbar_tension_currentlevelhigh        Висок
interfacetopbar_tension_increasing              и се покачва
interfacetopbar_tension_decreasing              и намалява
interfacetopbar_tension_description             ФАКТОРИ:
interfacetopbar_tension_happyprisoners          - *X затворници казват, че са добре
interfacetopbar_tension_unhappyprisoners        + *X затворници имат сериозни оплаквания
interfacetopbar_tension_lockedupprisoners       + *X затворници са оковани в килиите или изолатора
interfacetopbar_tension_riotingprisoners        + *X затворници се бунтуват
interfacetopbar_tension_wellfedprisoners        - *X затворници са добре нахранени
interfacetopbar_tension_suppressedprisoners     = *X затворници са усмирени (послушни)
interfacetopbar_tension_activeriotguards        + *X полицаи са на мястото
interfacetopbar_tension_activearmedguards       + *X въоръжени пазачи на разположение
interfacetopbar_tension_recentdeaths            + *X убити наскоро
interfacetopbar_tension_recentsearches          + *X затворници, наскоро претърсени без да е необходимо
interfacetopbar_tension_angrygangmembers        + *X ЧЛЕНОВЕ НА БАНДИ СА БЕСНИ (лидерът е наказан)
interfacetopbar_tension_recentpunishments       = (DETERRENT) *X наказания, дадени наскоро
interfacetopbar_tension_recentcalmed            - *X затворници са били усмирени наскоро
interfacetopbar_tension_staffmorale_low			+ Мотивацията на персонала е ниска
interfacetopbar_tension_staffmorale_high		- Мотивацията на персонала е висока
interfacetopbar_tension_staffonstrike           + Вашият персонал стачкува
interfacetopbar_tension_dangerzone				+ ОПАСНА ЗОНА!

interfacetopbar_staffmorale_title				МОТИВАЦИЯ НА ПЕРСОНАЛА
interfacetopbar_staffmorale_happystaff			+ *X от персонала са доволни от работата си
interfacetopbar_staffmorale_unhappystaff		- *X от персонала имат сериозни оплаквания
interfacetopbar_staffmorale_injuredstaff		- *X от персонала са ранени
interfacetopbar_staffmorale_staffdeaths			- *X от персонала са починали при изпълнение на служебните си задължения
interfacetopbar_staffmorale_staffpayverygood	+ Персоналът получава невероятно добро заплащане
interfacetopbar_staffmorale_staffpaygood		+Персоналът получава добро заплащане
interfacetopbar_staffmorale_staffpaybad 		-Персоналът не получава достатъчно добро заплащане

interfacecontrol_mainmenu                       Главно меню (Esc)
interfacecontrol_mainmenu_tooltip               Превключване на главното меню (Нова игра/Зареди/Запази/Изход и т.н.)
interfacecontrol_todo                           Списък със задачи
interfacecontrol_todo_tooltip                   Превключи списъка със задачи
interfacecontrol_research                       Бюрокрация
