
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nuevo
dialog_load	Cargar
dialog_save	Guardar
dialog_saveas	Guardar como
dialog_delete	Borrar
dialog_width	Ancho
dialog_height	Alto
dialog_name	Nombre
dialog_type	Tipo
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	Salir
dialog_cancel	Cancelar
dialog_ok	Ok
dialog_open	Abierto
dialog_close	Cerrar
dialog_closed	Cerrado
dialog_add	Añadir
dialog_up	Arriba
dialog_down	Abajo
dialog_yes	Sí
dialog_no	No
dialog_loading	Cargando...
dialog_low	Baja
dialog_medium	Media
dialog_high	Alta
dialog_none	Ninguna
ellipsis	...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	Editor de diálogo
dialogeditor_back	Atrás
dialogeditor_front	Delante
dialogeditor_reloadlanguage	Actualizar Idioma
dialogeditor_test	Prueba
dialogeditor_window	Ventana
dialogeditor_grid	Cuadrícula
dialogeditor_caption	Subtítulo
dialogeditor_component	Componente
dialogeditor_select	Seleccionar
dialogeditor_create	Crear
dialogeditor_background	Imagen de fondo
dialogeditor_panel	Panel

dialogcomponent_custom	Personalizar
dialogcomponent_button	Botón
dialogcomponent_container	Contenedor
dialogcomponent_caption	Subtítulo
dialogcomponent_titlecaption	NombreSubtítulo
dialogcomponent_checkbox	Casilla
dialogcomponent_inputfield	Entrada
dialogcomponent_inputslider	Control de entrada
dialogcomponent_dropdownmenu	Menú desplegable
dialogcomponent_selectionlist	Lista de selección
dialogcomponent_selectionlistitem	Listadeselección
dialogcomponent_scrollbar	Barra de desplazamiento
dialogcomponent_progressbar	Barra de progreso
dialogcomponent_canvas	Lienzo
dialogcomponent_iconbox	CajaIcono

dialogposition_absolute	Absoluta
dialogposition_relative	Relativa
dialogposition_scaled	Escalada


# =============================================================================
# Profiler
# =============================================================================

profiler_title	Perfilador
profiler_name	Nombre
profiler_timings	Tiempos
profiler_totaltime	Total
profiler_glfinishcaption	glFinish
profiler_reset	Resetear


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title	Canales de Sonido
soundeditor_title	Editor de Sonido
soundinstanceeditor_title	Editor de reproducción

soundeditor_positiontitle	Tipo de posición
soundeditor_instancetitle	Tipo de pista
soundeditor_looptitle	Tipo de bucle
soundeditor_sourcetypetitle	Tipo de sonido
soundeditor_soundnametitle	Nombre del sonido

soundeditor_volumetitle	Volumen
soundeditor_frequencytitle	Frecuencia
soundeditor_mindistancetitle	Distancia min.
soundeditor_attacktitle	Atacar
soundeditor_sustaintitle	Sostener
soundeditor_releasetitle	Declive
soundeditor_loopdelaytitle	Retraso del bucle
soundeditor_dsptitle	DSP
soundeditor_nexteventtitle	Siguiente evento

soundeditor_play	Reproducir
soundeditor_stop	Pausar

