
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nieuw
dialog_load	Laden
dialog_save	Opslaan
dialog_saveas	Opslaan als
dialog_delete	Wissen
dialog_width	Breedte
dialog_height	Lengte
dialog_name	Naam
dialog_type	Type
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	Afsluiten
dialog_cancel	Annuleren
dialog_ok	Oké
dialog_open	Openen
dialog_close	Afsluiten
dialog_closed	Gesloten
dialog_add	Toevoegen
dialog_up	Omhoog
dialog_down	Omlaag
dialog_yes	Ja
dialog_no	Nee
dialog_loading	Laden...
dialog_low	Laag
dialog_medium	Gemiddeld
dialog_high	Hoog
dialog_none	Geen
ellipsis	...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	Dialoog-editor
dialogeditor_back	Naar achteren
dialogeditor_front	Naar voren
dialogeditor_reloadlanguage	Taal herladen
dialogeditor_test	Test
dialogeditor_window	Venster
dialogeditor_grid	Rooster
dialogeditor_caption	Tekst
dialogeditor_component	Onderdeel
dialogeditor_select	Selecteren
dialogeditor_create	Aanmaken
dialogeditor_background	Achtergrond
dialogeditor_panel	Paneel

dialogcomponent_custom	Personaliseren
dialogcomponent_button	Knop
dialogcomponent_container	Container
dialogcomponent_caption	Tekst
dialogcomponent_titlecaption	TitelTekst
dialogcomponent_checkbox	Checkbox
dialogcomponent_inputfield	Invoerveld
dialogcomponent_inputslider	Schuifknop
dialogcomponent_dropdownmenu	Keuzelijst
dialogcomponent_selectionlist	SelectieLijst
dialogcomponent_selectionlistitem	SelectieLijstItem
dialogcomponent_scrollbar	Scrolbalk
dialogcomponent_progressbar	Voortgangsbalk
dialogcomponent_canvas	Canvas
dialogcomponent_iconbox	Pictogramruimte

dialogposition_absolute	Vaststaand
dialogposition_relative	In relatie tot
dialogposition_scaled	In verhouding met


# =============================================================================
# Profiler
# =============================================================================

profiler_title	Profiler
profiler_name	Naam
profiler_timings	Timings
profiler_totaltime	Totaal
profiler_glfinishcaption	glFinish
profiler_reset	Resetten


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title	Geluidskanalen
soundeditor_title	Sound-editor
soundinstanceeditor_title	Sound instance-editor

soundeditor_positiontitle	Positietype
soundeditor_instancetitle	Instance-type
soundeditor_looptitle	Lus-type
soundeditor_sourcetypetitle	Sound-type
soundeditor_soundnametitle	Sound-naam

soundeditor_volumetitle	Volume
soundeditor_frequencytitle	Frequentie
soundeditor_mindistancetitle	Min. afstand
soundeditor_attacktitle	Attack
soundeditor_sustaintitle	Sustain
soundeditor_releasetitle	Release
soundeditor_loopdelaytitle	Lus-vertraging
soundeditor_dsptitle	DSP
soundeditor_nexteventtitle	Volgende event

soundeditor_play	Spelen
soundeditor_stop	Stoppen

soundparametereditor_title	Geluidsparameter
soundparametereditor_typetitle	Type
soundparametereditor_linktitle	Gekoppeld aan
soundparametereditor_updatetitle	Soort update
soundparametereditor_smoothing	Smoothing
soundparametereditor_chaintitle	Keten

soundeditor_newdsp	DSP toevoegen
sounddspeditor_title	DSP-editor
samplebankeditor_title	Sample-editor
samplebankeditor_addsample	Geluid toevoegen
samplebank	(samples)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done	Voltooid
interfacemode_destroy	Verwijderen
interfacemode_foundations	Fundering
interfacemode_construction	Materialen
interfacemode_planning	Blauwdrukken
interfacemode_objects	Voorwerpen
interfacemode_designation	Kamers
interfacemode_utilities	Voorzieningen
interfacemode_staff	Personeel
interfacemode_deployment	Werk
interfacemode_logistics	Logistiek
interfacemode_prisoners	Gevangenen
interfacemode_needs	Behoeften
interfacemode_threats	Dreigementen
interfacemode_overlays	Overlays
interfacemode_research	Bureaucratie
interfacemode_emergencies	Noodgevallen
interfacemode_clone	Kopiëren
interfacemode_contraband	Intelligentie
interfacemode_grading	Cijfers
interfacemode_spawn	(Startpunt)
interfacemode_properties	(Eigenschappen)
interfacemode_cutscenes	(Filmpjes)
interfacemode_selection	Selecteren
interfacemode_prefabs	Snel bouwen

interfaceoverlay_security	Beveiliging
interfaceoverlay_patrols	Patrouilles
interfaceoverlay_decay	Verval
interfaceoverlay_territory	Territorium
interfaceoverlay_contraband	Smokkelwaar

interfaceproperty_indoor	Binnen
interfaceproperty_visible	Zichtbaar
interfaceproperty_territoryprisoner	Bendes
interfaceproperty_territoryguard	Bewakers
interfaceproperty_sectorprisoner	Rellen
interfaceproperty_tunnel	Tunnel

interfacedeployment_guards	Bewakers
interfacedeployment_patrols	Patrouilles van bewakers
interfacedeployment_dogpatrols	Patrouilles met waakhonden
interfacedeployment_armedpatrols	Gewapende patrouilles
interfacedeployment_removeguards	Bewakers verwijderen
interfacedeployment_clearpatrols	Patrouilles annuleren
interfacedeployment_targetting	Logistiek
interfacedeployment_targettingfood	Logistiek van eten
interfacedeployment_targettinglaundry	Logistiek van vuile was
interfacedeployment_securearea	Veilige omgeving
interfacedeployment_sharedzone	Gemeenschappelijk
interfacedeployment_staffonlyzone	Alleen personeel
interfacedeployment_maxseczone	Alleen max. bewaking
interfacedeployment_medseczone	Alleen gem. bewaking
interfacedeployment_minseczone	Alleen min. bewaking
interfacedeployment_protectedzone	Alleen beveiligd
interfacedeployment_supermaxzone	Alleen SuperMax
interfacedeployment_deathrowzone	Alleen dodencellen
interfacedeployment_unlockedzone	Ontgrendeld
interfacedeployment_zonered	Rode vleugel
interfacedeployment_zonegreen	Groene vleugel
interfacedeployment_zoneblue	Blauwe vleugel
interfacedeployment_zoneyellow	Gele vleugel
interfacedeployment_zoning	Zones
interfacedeployment_accessonly	Alleen toegang
interfacedeployment_prisonerdirection	Richting gevangene
interfacedeployment_staffdirection	Richting anderen

interfacelogistics_jobs	Gevangenisarbeid
interfacelogistics_removejobs	Arbeid verwijderen
interfacelogistics_targettingfood	Distributie van eten
interfacelogistics_targettinglaundry	Distributie van wasgoed
interfacelogistics_roomquality	Kamerkwaliteit
interfacelogistics_weathermap	Temperatuur

interfaceplanning_wall	Muren
interfaceplanning_object	Voorwerpen
interfaceplanning_route	Gangen
interfaceplanning_clear	Veilig
interfaceplanning_zone1	Zone 1
interfaceplanning_zone2	Zone 2
interfaceplanning_zone3	Zone 3
interfaceplanning_zone4	Zone 4
