# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新記錄
codex_legal	法務
codex_privacy	隱私
codex_terms-of-use	使用條款
codex_eula	最終用戶許可協議

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	牆壁和門
interfacemode_flooring	地板
tunnelsearch_underway	正在進行地道搜查
tunnelsearch_found	地道
moveobjects_prompt	按兩下：移動物品
moveobjects_abort	按右鍵：取消移動

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	不同的牆壁和門類型
buildtoolbar_popup_flooring	不同的地板風格
buildtoolbar_popup_spawn	開啟「大量生產」(Spawn) 功能表。
buildtoolbar_tunnelsearch	管道搜查

buildtoolbar_tooltip_tunnelsearch	懷疑罪犯正企圖越獄？命令警衛搜查所有馬桶。

buildtoolbar_GuardResponse	警衛反應
buildtoolbar_tooltip_GuardResponse	啟用後，可在地圖上按一下左鍵，召喚附近警衛前往指定地點。按多次即可召喚更多警衛。按一下右鍵停止。


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	花磚牆
material_NewBarredWall	鐵絲網牆
material_NewBBlockWall	白牆
material_NewHedgeWall	籬笆
material_NewIronFloor	鐵門
material_NewCargoFloor	貨箱底板
material_NewCheckeredFloor	方格花紋地板
material_Snow	雪


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	按兩下左鍵追蹤*E
quickbuild_intermediatecell	升級的牢房
quickbuild_holdingcell	拘留室
quickbuild_medical	醫療室
quickbuild_shop	商店
quickbuild_shower	淋浴間
quickbuild_staffroom	員工休息室
quickbuild_workshop	車間

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	2019 年 6 月 27 日
mm_updatenotes_Header	“牢房”更新
mm_updatenotes_01	新增 4 種地磚和 4 種牆面。
mm_updatenotes_02	效能提升，減少遊戲載入時間。
mm_updatenotes_03	對於工頭也教授課程的大型監獄，增加可雇傭的工頭數量。
mm_updatenotes_04	現有物品現已擁有完整的旋轉組合，針對迷失方向的情況加入新精靈。
mm_updatenotes_05	新增「警衛反應」按鈕，可命令附近警衛到指定地點集合，玩家無需額外雇傭警衛處理事件。
mm_updatenotes_06	新增「地道搜查」按鈕，可命令警衛搜查所有馬桶，尋找隱藏的逃獄地道。
mm_updatenotes_07	「快速建造」功能表新加入額外的「快速房間」，房間建造更快捷方便。
mm_updatenotes_08	在囚犯和員工身上按兩下即可輕鬆展開追蹤。
mm_updatenotes_09	新增移動和重新擺放物品的能力！選取並按兩下物品即可。
mm_updatenotes_10	希望您喜歡這些全新和改善功能！


############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	泥地
material_mud	泥地
material_yutaniwall	牆壁 (Yutani)










material_solacofloor	Solaco 瓷磚
material_gratefloor	格柵

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	樹（雪針葉樹）


object_palmtree	樹（棕櫚樹）
object_plant	植物

object_bush	灌木

object_streetlamp	路燈

object_floodlight	燈（投射燈）








object_bleachers	露天看台
object_smallbench	板凳（小）
object_smalltable	桌子（小）
object_showerpillar	淋浴柱


object_doorMat	踏墊

object_GuardPavilion	警衛亭
object_GuardPavilionCorner	警衛亭（角落）

object_OfficeChair	椅子（辦公室）




















object_visitorDoor	探視門
object_ironingBoardShort	熨衣板（小）
object_fencegatestaff	柵欄門（工作人員）
object_fencegatestandard	柵欄門（標準）
object_fencegatevisitor	柵欄門（訪客）












object_walllight	壁燈
object_securedoor	門（安全）
object_secretdoor	門（隱蔽）



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	這是泥地，可免費使用！
buildtoolbar_popup_mat_yutaniwall	在地基上建造具有高科技外觀的牆壁，以建立新區域或房間，太空風格地面或 Solaco 瓷磚地面更適合。

buildtoolbar_popup_mat_newbblockwall	在地基上用煤磚建造牆壁，以建立新區域或房間。
buildtoolbar_popup_mat_newbarredwall	在地基上建造有柵欄的牆壁，以建立新區域或房間。
buildtoolbar_popup_mat_newtiledwall	在地基上建造貼有瓷磚的牆壁，以建立新區域或房間。
buildtoolbar_popup_mat_newhedgewall	高大但是脆弱的樹籬。這個選擇雖然美觀，但不怎麼安全。









buildtoolbar_popup_mat_solacofloor	為我們的監獄地面打造一個高科技外觀。Yutani 牆壁更適合。
buildtoolbar_popup_mat_gratefloor	為我們的監獄地面打造一個高科技外觀。
buildtoolbar_popup_mat_newcargofloor	為我們的監獄地面打造一個訂製外觀。
buildtoolbar_popup_mat_newironfloor	為我們的監獄地面打造一個訂製外觀。
buildtoolbar_popup_mat_newcheckeredfloor	這種材料放在你的廚房或客廳可能會很好看。
buildtoolbar_popup_mat_snow	很像水，只是色調更冷、更漂亮。





buildtoolbar_popup_obj_snowyconifertree	在雪地上看起來最合適。


buildtoolbar_popup_obj_palmtree	一般生長在旱地上，但是你現在可以決定將它們種在任何地方。


buildtoolbar_popup_obj_bush	為室外區域做一些裝飾。

buildtoolbar_popup_obj_streetlamp	照亮道路和小徑。

buildtoolbar_popup_obj_floodlight	高大室外燈，可以照亮庭院等大型區域。








buildtoolbar_popup_obj_bleachers	典型的監獄庭院露天看台，供一群囚犯坐在這裡思考接下來該做什麼。
buildtoolbar_popup_obj_smallbench	可以坐在上面。
buildtoolbar_popup_obj_smalltable	可以在這裡吃飯。
buildtoolbar_popup_obj_showerpillar	放在淋浴間的中間，然後在兩邊各裝一個淋浴噴頭。


buildtoolbar_popup_obj_doorMat	便宜的塑膠踏墊，放在門口應該不錯。


buildtoolbar_popup_obj_guardPavilion	放在庭院和開放區域，供警衛和武裝警衛監視你的囚犯。\n	透過部署選單指派警衛。\n - 增加該區域的鎮壓等級。\n - 警衛不受天氣影響。
buildtoolbar_popup_obj_guardPavilionCorner	放在庭院和開放區域的角落，供警衛和武裝警衛監視你的囚犯。\n	透過部署選單指派警衛。\n - 增加該區域的鎮壓等級。\n - 警衛不受天氣影響。

buildtoolbar_popup_obj_officeChair	椅子，供工作人員坐在辦公桌中央。




















buildtoolbar_popup_obj_visitorDoor	允許監獄探視者通過的門，不需要警衛來開門。警衛和工作人員也可以使用這扇門，但囚犯不能使用。
buildtoolbar_popup_obj_ironingBoardShort	較短的熨衣板。
buildtoolbar_popup_obj_fencegatestaff	裝上柵欄看起來很棒的大門，功能和門一樣。
buildtoolbar_popup_obj_fencegatestandard	裝上柵欄看起來很棒的大門，功能和門一樣。
buildtoolbar_popup_obj_fencegatevisitor	裝上柵欄看起來很棒的大門，功能和門一樣。












buildtoolbar_popup_obj_walllight	地堡風格燈，可以安裝在牆壁上。
buildtoolbar_popup_obj_securedoor	禁閉室專用門，附食物專用小門。負責分發食物的警衛可以透過小門傳遞托盤，無需進入禁閉室。


interfacedeployment_guards	指派警衛
buildtoolbar_deployment_Guards	將警衛指派至你監獄裡的區塊。

interfacedeployment_Dogs	指派警犬訓練師
buildtoolbar_deployment_Dogs	將警犬訓練師指派至你監獄裡的區塊。

interfacedeployment_ArmedGuards	指派武裝警衛
buildtoolbar_deployment_ArmedGuards	將武裝警衛指派至你監獄裡的區塊。

interfacedeployment_patrols	指派警衛
buildtoolbar_deployment_Patrols	將警衛指派至你監獄的巡邏路線。

interfacedeployment_dogpatrols	指派警犬訓練師
buildtoolbar_deployment_DogPatrols	將警犬訓練師指派至你監獄的巡邏路線。

interfacedeployment_armedpatrols	指派武裝警衛
buildtoolbar_deployment_ArmedPatrols	將武裝警衛指派至你監獄的巡邏路線。

buildtoolbar_popup_help_Guards_1	警衛工具可以讓你在每個區域駐守警衛。駐守警衛會在其指派區域隨意走動，也會執行該區域的所有警衛工作，例如開門。\n\n
