
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Yeni
dialog_load	Yükle
dialog_save	Kaydet
dialog_saveas	Farklı Kaydet
dialog_delete	Sil
dialog_width	Genişlik
dialog_height	Yükseklik
dialog_name	İsim
dialog_type	Tür
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	Çıkış
dialog_cancel	İptal
dialog_ok	Tamam
dialog_open	Aç
dialog_close	Kapat
dialog_closed	Kapalı
dialog_add	Ekle
dialog_up	Yukarı
dialog_down	Aşağı
dialog_yes	Evet
dialog_no	Hayır
dialog_loading	Yükleniyor...
dialog_low	Düşük
dialog_medium	Orta
dialog_high	Yüksek
dialog_none	Hiçbiri
ellipsis	...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	Diyalog Editörü
dialogeditor_back	Arkaya
dialogeditor_front	Öne
dialogeditor_reloadlanguage	Dili Yeniden Yükle
dialogeditor_test	Test
dialogeditor_window	Pencere
dialogeditor_grid	Izgara
dialogeditor_caption	Başlık
dialogeditor_component	İçerik
dialogeditor_select	Seç
dialogeditor_create	Oluştur
dialogeditor_background	Arkaplan Resmi
dialogeditor_panel	Panel

dialogcomponent_custom	Özel
dialogcomponent_button	Düğme
dialogcomponent_container	Kapsayıcı
dialogcomponent_caption	Başlık
dialogcomponent_titlecaption	Başlık Yazısı
dialogcomponent_checkbox	Onay Kutusu
dialogcomponent_inputfield	Girdi Alanı
dialogcomponent_inputslider	Girdi Kaydırıcı
dialogcomponent_dropdownmenu	Açılır Menü
dialogcomponent_selectionlist	Seçim Listesi
dialogcomponent_selectionlistitem	Seçim Listesi Öğesi
dialogcomponent_scrollbar	Kaydırma Çubuğu
dialogcomponent_progressbar	İlerleme Çubuğu
dialogcomponent_canvas	Tuval
dialogcomponent_iconbox	Simge Kutusu

dialogposition_absolute	Kesin
dialogposition_relative	Göreceli
dialogposition_scaled	Ölçeklenmiş


# =============================================================================
# Profiler
# =============================================================================

profiler_title	Profil Oluşturucu
profiler_name	İsim
profiler_timings	Zamanlama
profiler_totaltime	Toplam
profiler_glfinishcaption	glFinish
profiler_reset	Sıfırla


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title	Ses Kanalları
soundeditor_title	Ses Editörü
soundinstanceeditor_title	Ses Örneği Editörü

soundeditor_positiontitle	Konum Türü
soundeditor_instancetitle	Örnek Türü
soundeditor_looptitle	Döngü Türü
soundeditor_sourcetypetitle	Ses Türü
soundeditor_soundnametitle	Ses Adı

soundeditor_volumetitle	Ses
soundeditor_frequencytitle	Frekans
soundeditor_mindistancetitle	Minimum Mesafe
soundeditor_attacktitle	Saldırı
soundeditor_sustaintitle	Uzunluk
soundeditor_releasetitle	Dağılma
soundeditor_loopdelaytitle	Döngü Gecikmesi
soundeditor_dsptitle	DSP
soundeditor_nexteventtitle	Sonraki Olay

soundeditor_play	Çal
soundeditor_stop	Durdur

soundparametereditor_title	Ses Parametresi
soundparametereditor_typetitle	Tür
soundparametereditor_linktitle	Şuna Bağlı:
soundparametereditor_updatetitle	Güncelleme Türü
soundparametereditor_smoothing	Yumuşatma
soundparametereditor_chaintitle	Zincir

soundeditor_newdsp	DSP Ekle
sounddspeditor_title	DSP Editörü
samplebankeditor_title	Örnek Banka Editörü
samplebankeditor_addsample	Ses Ekle
samplebank	(Örnek Banka)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done	Bitti
interfacemode_destroy	Kaldır
interfacemode_foundations	Temeller
interfacemode_construction	Malzemeler
interfacemode_planning	Planlama
interfacemode_objects	Nesneler
interfacemode_designation	Odalar
interfacemode_utilities	Yardımcı Birimler
interfacemode_staff	Personel
interfacemode_deployment	Yerleştirme
interfacemode_logistics	Lojistik
interfacemode_prisoners	Mahkumlar
interfacemode_needs	İhtiyaçlar
interfacemode_threats	Tehditler
interfacemode_overlays	Kaplamalar
interfacemode_research	Bürokrasi
interfacemode_emergencies	Acil Durumlar
interfacemode_clone	Klon
interfacemode_contraband	İstihbarat
interfacemode_grading	Derecelendirme
interfacemode_spawn	(Türeme)
interfacemode_properties	(Özellikler)
interfacemode_cutscenes	(Ara Sahneler)
interfacemode_selection	Seç
interfacemode_prefabs	Hızlı Kurulum

interfaceoverlay_security	Güvenlik
interfaceoverlay_patrols	Devriyeler
interfaceoverlay_decay	Bozulma
interfaceoverlay_territory	Bölge
interfaceoverlay_contraband	Kaçak Mal

interfaceproperty_indoor	İçerisi
interfaceproperty_visible	Görünebilir
interfaceproperty_territoryprisoner	Çeteler
interfaceproperty_territoryguard	Gardiyanlar
interfaceproperty_sectorprisoner	İsyan
interfaceproperty_tunnel	Tünel

interfacedeployment_guards	Gardiyanlar
interfacedeployment_patrols	Gardiyan Devriyeler
interfacedeployment_dogpatrols	Köpek Devriyeler
interfacedeployment_armedpatrols	Silahlı Devriyeler
interfacedeployment_removeguards	Gardiyanları Kaldır
interfacedeployment_clearpatrols	Devriyeleri Temizle
interfacedeployment_targetting	Lojistik
interfacedeployment_targettingfood	Gıda Lojistiği
interfacedeployment_targettinglaundry	Çamaşırhane Lojistiği
interfacedeployment_securearea	Güvenli Alan
interfacedeployment_sharedzone	Ortak
interfacedeployment_staffonlyzone	Sadece Personel
interfacedeployment_maxseczone	Sadece Maks Güv
interfacedeployment_medseczone	Sadece Orta Güv
interfacedeployment_minseczone	Sadece Min Güv
interfacedeployment_protectedzone	Sadece Korumalılar
interfacedeployment_supermaxzone	Sadece Süper Maks
interfacedeployment_deathrowzone	Sadece Ölüm Hücresi
interfacedeployment_unlockedzone	Kilidi Açık
interfacedeployment_zonered	Kırmızı Koğuş
interfacedeployment_zonegreen	Yeşil Koğuş
interfacedeployment_zoneblue	Mavi Koğuş
interfacedeployment_zoneyellow	Sarı Koğuş
interfacedeployment_zoning	Bölgeleme
interfacedeployment_accessonly	Özel Erişim
interfacedeployment_prisonerdirection	Mahkum Yönü
interfacedeployment_staffdirection	Diğer Yön

interfacelogistics_jobs	Hapishane İşçiliği
interfacelogistics_removejobs	İşçiliği Kaldır
interfacelogistics_targettingfood	Gıda Dağıtımı
interfacelogistics_targettinglaundry	Çamaşırhane Dağıtımı
interfacelogistics_roomquality	Oda Kalitesi
interfacelogistics_weathermap	Sıcaklık

interfaceplanning_wall	Duvarlar
interfaceplanning_object	Nesneler
interfaceplanning_route	Yollar
interfaceplanning_clear	Temizle
interfaceplanning_zone1	Bölge 1
interfaceplanning_zone2	Bölge 2
interfaceplanning_zone3	Bölge 3
interfaceplanning_zone4	Bölge 4
interfaceplanning_zone5	Bölge 5
interfaceplanning_zone6	Bölge 6
interfaceplanning_zone7	Bölge 7
interfaceplanning_zone8	Bölge 8
interfaceplanning_zone9	Bölge 9

interfacecontraband_source	Tehlikeler
interfacecontraband_day	-24 Saat
interfacecontraband_week	-7 Gün
interfacecontraband_alltime	-30 Gün
interfacecontraband_stolenfrom	Nereden Çalındı:
interfacecontraband_informants	Muhbirler
interfacecontraband_gangs	Çeteler

interfacecallout_fireengine	İtfaiye Aracı
interfacecallout_riotpolice	Çevik Kuvvet
interfacecallout_armedpolice	Silahlı Polis
interfacecallout_paramedics	Sağlık Görevlileri
interfacecallout_soldiers	Askerler

interfaceclone_copy	Kopyala
interfaceclone_paste	Yapıştır
interfaceclone_cancel	Hızlı Kurulumu İptal Et
interfaceclone_clone	Klonla

interfacetopbar_todo	Yapılacaklar
interfacetopbar_balance	Banka *B
interfacetopbar_budget	Nakit Akışı *C
interfacetopbar_income	Gelir *I
interfacetopbar_expenses	Masraflar *C
interfacetopbar_day	GÜN *D

interfacetopbar_title_balance	Banka Bakiyesi
interfacetopbar_title_budget	Günlük Nakit Akışı
interfacetopbar_title_cctv	CCTV
interfacetopbar_title_day	Gün
interfacetopbar_title_prisoners	Mahkumlar
interfacetopbar_title_guards	Gardiyanlar
interfacetopbar_title_tension	Tehlike
interfacetopbar_title_weathericon	Hava Durumu

interfacetopbar_tooltip_balance	Bankadaki para miktarın.\n\nHibe listesi ile daha fazla fon toplamak için tıkla.
interfacetopbar_tooltip_budget	Mevcut gelir ve giderine göre her gün alacağın para miktarı.\n\nAyrıntılı gelir gider dökümüne erişmek için tıkla.
interfacetopbar_tooltip_cctv	Şu anda sahip olduğun CCTV kameralarının ve monitörlerin sayısı.
interfacetopbar_tooltip_day	Hapishaneyi ne kadar zamandır idare ettiğin.
interfacetopbar_tooltip_prisoners	Şu anda hapishanende sahip olduğun ve tutabileceğin mahkum sayısı.
interfacetopbar_tooltip_guards	Hapishanende çalışmak için hazır kaç tane gardiyan olduğu.
interfacetopbar_tooltip_tension	Güvenlik şefine göre hapishanenin toplam tehlike seviyesi.
interfacetopbar_tooltip_weathericon	Mevcut hava durumu ve sıcaklık.

interfacetopbar_tooltip_recenttransactions	Son İşlemler

interfacetopbar_tooltip_gametime	Toplam oynama süresi : *X saat, *Y dakika, *Z saniye

interfacetopbar_tooltip_totalguards	Toplam *X gardiyan
interfacetopbar_tooltip_guardincapacitated	*X Görevlendirilmemiş
interfacetopbar_tooltip_guardstationed	*X Atanmış
interfacetopbar_tooltip_guardpatrolling	*X Devriyede
interfacetopbar_tooltip_guardavailable	*X Müsait
interfacetopbar_tooltip_guardresting	*X Dinleniyor
interfacetopbar_tooltip_guardonbreak	*X Molada
interfacetopbar_tooltip_guardwantsabreak	(*X molaya ihtiyaç duyuyor)
interfacetopbar_tooltip_guardactive	(*X Olaylara Karşılık Veriyor)
interfacetopbar_tooltip_guarddoingjob	*X Görev Başında
interfacetopbar_tooltip_idle	(*X Boşta)
interfacetopbar_tooltip_guardsstriking	*X GREVDE

interfacetopbar_tooltip_regularguards	*X normal Gardiyan mevcut
interfacetopbar_tooltip_armedguards	*X Silahlı Gardiyan mevcut
interfacetopbar_tooltip_dogs	*X Köpekli gardiyan mevcut
interfacetopbar_tooltip_snipers	*X Keskin Nişancı mevcut

interfacetopbar_unlimitedfunds	SINIRSIZ FON
interfacetopbar_cheatsenabled	HİLELER ETKİNLEŞTİRİLDİ

interfacetopbar_budget_moneyin	Giren Para: $*M/gün
interfacetopbar_budget_moneyout	Çıkan Para: $*M/gün
interfacetopbar_budget_cantgonegative	Mali durumu yönetmek için bir Muhasebeci bulana kadar nakit akışın negatif (yani masraflar, gelirden fazla) olamaz.

interfacetopbar_prisoners_types	Şu anda tutulan Mahkum sayısı: *X
interfacetopbar_prisoners_capacity	Maksimum güvenlik kapasitesi: *X
interfacetopbar_prisonercells_shared	Ortak kapasite: *X
interfacetopbar_prisonercells_unlocked	Kilidi açılmış kapasite: *X
interfacetopbar_prisonercells_minseconly	Minimum kapasite: *X
interfacetopbar_prisonercells_medseconly	Orta kapasite: *X
interfacetopbar_prisonercells_maxseconly	Maksimum kapasite: *X
interfacetopbar_prisonercells_protectedonly	Korumalı kapasite: *X
interfacetopbar_prisonercells_supermaxonly	Süper Maks kapasitesi: *X
interfacetopbar_prisonercells_deathrowonly	Ölüm Hücresi kapasitesi: *X
interfacetopbar_prisonercells_staffonly	Müsait olmayan: *X
interfacetopbar_prisoners_nocells	*X Mahkuma hücre atanamıyor
interfacetopbar_prisonercells_parents	Ana Kapasite: *X

interfacetopbar_cctv_current	Şu an *C kamera çalışıyor
interfacetopbar_cctv_cap	*C kamera için alan

interfacetopbar_tension_currentlevel	Tehlike seviyesi *X
interfacetopbar_tension_currentlevellow	Düşük
interfacetopbar_tension_currentlevelmedium	Orta
interfacetopbar_tension_currentlevelhigh	Yüksek
interfacetopbar_tension_increasing	ve artıyor
interfacetopbar_tension_decreasing	ve azalıyor
interfacetopbar_tension_description	ETKENLER:
interfacetopbar_tension_happyprisoners	- *X mahkum kendilerine iyi davranıldığını söylüyor
interfacetopbar_tension_unhappyprisoners	+ *X mahkumun ciddi şikayetleri var
interfacetopbar_tension_lockedupprisoners	+ *X mahkum hücrelerinde veya hücre hapsinde tutsak
interfacetopbar_tension_riotingprisoners	+ *X mahkum isyanda
interfacetopbar_tension_wellfedprisoners	- *X mahkum iyi beslenmiş
interfacetopbar_tension_suppressedprisoners	= *X mahkum baskı altında (itaatkar)
interfacetopbar_tension_activeriotguards	+ *X isyan polisi alanda
interfacetopbar_tension_activearmedguards	+ *X silahlı gardiyan hizmette
interfacetopbar_tension_recentdeaths	+ *X kişi son zamanlarda öldürüldü
interfacetopbar_tension_recentsearches	+ *X mahkum son zamanlarda gereksiz yere arandı
interfacetopbar_tension_angrygangmembers	+ *X ÇETE ÜYESİ ÖFKELİ (liderleri cezalandırıldı)
interfacetopbar_tension_recentpunishments	= (CAYDIRICI) Son zamanlarda *X ceza verildi
interfacetopbar_tension_recentcalmed	- *X mahkum son zamanlarda sakinleştirildi
interfacetopbar_tension_staffmorale_low	+ Personelin morali düşük
interfacetopbar_tension_staffmorale_high	- Personelin morali yüksek
interfacetopbar_tension_staffonstrike	+ Personelin grevde
interfacetopbar_tension_dangerzone	+ TEHLİKELİ BÖLGE!

interfacetopbar_staffmorale_title	PERSONEL MORALİ
interfacetopbar_staffmorale_happystaff	+ *X personel işinden memnun
interfacetopbar_staffmorale_unhappystaff	- *X personelin ciddi şikâyetleri var
interfacetopbar_staffmorale_injuredstaff	- *X personel yaralı
interfacetopbar_staffmorale_staffdeaths	- *X personel görev başında öldü
interfacetopbar_staffmorale_staffpayverygood	+ Personel son derecede yüksek maaş alıyor
interfacetopbar_staffmorale_staffpaygood	+ Personel yüksek maaş alıyor
interfacetopbar_staffmorale_staffpaybad	- Personel yeterli maaş almıyor

interfacecontrol_mainmenu	Ana Menü (Esc)
interfacecontrol_mainmenu_tooltip	Ana Menüye Git (Yeni/Yükle/Kaydet/Çık vb)
interfacecontrol_todo	Yapılacaklar Listesi
interfacecontrol_todo_tooltip	Yapılacaklar listesine git
interfacecontrol_research	Bürokrasi
interfacecontrol_research_tooltip	Bürokrasi ekranında yeni öğelerin, personel türlerinin ve tesislerin kilidini açmak için yöneticilerini atayabilirsin.
interfacecontrol_grading	Hapishane Derecelendirmesi
interfacecontrol_grading_tooltip	Hapishane Derecelendirmesi ekranı ne kadar başarılı olduğunu görebileceğin genel puanları gösterir.

interface_confirmlandbuy	$*X karşılığında bu arazi parçasını satın almak istiyor musun?
interface_loadconfirm	Bu haritayı yüklemek istediğinden emin misin? Kaydedilmemiş tüm ilerleme kaybolacak.
interface_saveconfirm	Bu dosya adı ile kaydetmek istediğinden emin misin? Mevcut verinin üzerine yazılacak.

interface_landbuylabel	*Xm x *Ym Toplam alan *A metre kare *C

interface_action_dismantle	Sök
interface_action_dump	Çöpe At
interface_action_repair	Tamir Et
interface_action_medicalbay	Sağlık Bölümü
interface_action_search	Ara
interface_action_searchcell	Hücreyi Ara
interface_action_searchcellblock	Hücre Bloğunu Ara
interface_action_searchtoilets	Tuvaletleri Ara
interface_action_sack	Kov
interface_action_dooropen	Kapıyı Aç
interface_action_doormodenormal	Kapı Modu: Normal
interface_action_doormodelockedshut	Kilitli
