# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
codex_legal	Wettelijk
codex_privacy	Privacybeleid
codex_terms-of-use	Gebruiksvoorwaarden
codex_eula	Licentieovereenkomst voor Eindgebruikers

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Muren en deuren
interfacemode_flooring	Vloeren
tunnelsearch_underway	ER WORDT GEZOCHT NAAR TUNNELS
tunnelsearch_found	Tunnels
moveobjects_prompt	DUBBELKLIKKEN: object verplaatsen
moveobjects_abort	RECHTSKLIKKEN: verplaatsen annuleren

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Verschillende typen muren en deuren
buildtoolbar_popup_flooring	Verschillende vloertypen
buildtoolbar_popup_spawn	Spawn-menu openen.
buildtoolbar_tunnelsearch	Tunnel zoeken

buildtoolbar_tooltip_tunnelsearch	Denk je dat er een ontsnappingspoging ophanden is? Laat je bewakers achter alle toiletten zoeken.

buildtoolbar_GuardResponse	Bewaker sturen
buildtoolbar_tooltip_GuardResponse	Na activatie klik je links op de kaart om bewakers in de buurt naar een locatie te sturen. Klik vaker om meer bewakers op te roepen. Klik rechts om te stoppen.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Betegelde muur
material_NewBarredWall	Getraliede muur
material_NewBBlockWall	Witte muur
material_NewHedgeWall	Heg
material_NewIronFloor	IJzeren vloer
material_NewCargoFloor	Vrachtvloer
material_NewCheckeredFloor	Geblokte vloer
material_Snow	Sneeuw


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Dubbelklik met links om deze *E te volgen

quickbuild_intermediatecell	Verbeterde cel
quickbuild_holdingcell	Cel
quickbuild_medical	Ziekenboeg
quickbuild_shop	Winkel
quickbuild_shower	Douche
quickbuild_staffroom	Personeelskamer
quickbuild_workshop	Werkplaats

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 juni 2019
mm_updatenotes_Header	Uppdateringen ”Kåken”
mm_updatenotes_01	4 nieuwe vloertegels en 4 nieuwe muurtypen toegevoegd.
mm_updatenotes_02	Prestatieverbeteringen voor kortere laadtijden.
mm_updatenotes_03	Er kunnen meer opzichters worden aangesteld, handig voor grotere gevangenissen waar opzichters ook programma's onderwijzen.
mm_updatenotes_04	Door de toevoeging van nieuwe sprites voor ontbrekende richtingen kunnen bestaande objecten nu in alle richtingen worden gedraaid.
mm_updatenotes_05	Met de nieuwe knop 'Bewaker sturen' kun je bestaande bewakers in de omgeving naar een locatie sturen, in plaats van dat je extra bewakers moet inhuren om incidenten op te lossen.
mm_updatenotes_06	Met de nieuwe knop 'Tunnel zoeken' laat je bewakers specifiek alle toiletten doorzoeken op verborgen ontsnappingstunnels.
mm_updatenotes_07	Er zijn extra Snelle kamers toegevoegd aan het snelbouwmenu, zodat kamers sneller en makkelijker kunnen worden gebouwd.
mm_updatenotes_08	Gevangenen en personeel zijn een stuk makkelijker te volgen door op ze te dubbelklikken.
mm_updatenotes_09	Je kunt nu objecten verplaatsen! Selecteer een object en dubbelklik erop.
mm_updatenotes_10	We hopen dat je veel speelplezier zult beleven aan deze nieuwe verbeteringen!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Modder
material_mud	Modder
material_yutaniwall	Muur (Yutani)










material_solacofloor	Solaco
material_gratefloor	Rooster

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Boom (besneeuwde naaldboom)


object_palmtree	Boom (palm)
object_plant	Plant

object_bush	Struik

object_streetlamp	Straatlantaarn

object_floodlight	Verlichting (schijnwerper)








object_bleachers	Banken
object_smallbench	Bank (klein)
object_smalltable	Tafel (klein)
object_showerpillar	Douchezuil


object_doorMat	Deurmat

object_GuardPavilion	Wachttoren
object_GuardPavilionCorner	Wachttoren (hoek)

object_OfficeChair	Stoel (kantoor)




















object_visitorDoor	Deur (bezoekers)
object_ironingBoardShort	Strijkplank (klein)
object_fencegatestaff	Hekpoort (personeel)
object_fencegatestandard	Hekpoort (standaard)
object_fencegatevisitor	Hekpoort (bezoeker)












object_walllight	Muurlamp
object_securedoor	Deur (vergrendeld)
object_secretdoor	Deur (geheim)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	Het is modder en het is gratis!
buildtoolbar_popup_mat_yutaniwall	Bouw op funderingen muren die er hightech uitzien om nieuwe ruimtes of kamers te creëren. Past uitstekend bij de laadvloer of de solacovloer.

buildtoolbar_popup_mat_newbblockwall	Bouw op funderingen muren van betonblokken om nieuwe ruimtes of kamers te creëren.
buildtoolbar_popup_mat_newbarredwall	Bouw op funderingen getraliede muren om nieuwe ruimtes of kamers te creëren.
buildtoolbar_popup_mat_newtiledwall	Bouw op funderingen betegelde muren om nieuwe ruimtes of kamers te creëren.
buildtoolbar_popup_mat_newhedgewall	Hoge maar niet al te stevige heggen. Meer een aardigheid dan een serieuze beveiligingsoptie.









buildtoolbar_popup_mat_solacofloor	Geef onze gevangenisvloeren een hightech look. Past uitstekend bij de Yutanimuren.
buildtoolbar_popup_mat_gratefloor	Geef onze gevangenisvloeren een hightech look.
buildtoolbar_popup_mat_newcargofloor	Geef onze gevangenisvloeren een op maat gemaakte look.
buildtoolbar_popup_mat_newironfloor	Geef onze gevangenisvloeren een op maat gemaakte look.
buildtoolbar_popup_mat_newcheckeredfloor	Deze zou er goed uitzien in je keukens of je kantines.
buildtoolbar_popup_mat_snow	Het is net water, alleen kouder en mooier.





buildtoolbar_popup_obj_snowyconifertree	Zou er het beste uitzien op besneeuwd land.


buildtoolbar_popup_obj_palmtree	Groeit normaal op droog land, maar nu kun je hem planten waar je maar wilt.


buildtoolbar_popup_obj_bush	Kleedt buiten een beetje leuk aan.

buildtoolbar_popup_obj_streetlamp	Om wegen en paden te verlichten.

buildtoolbar_popup_obj_floodlight	Een grote schijnwerper die grote gebieden zoals luchtplaatsen kan verlichten.








buildtoolbar_popup_obj_bleachers	Klassieke gevangenisbanken waar groepjes gevangenen kunnen zitten om over hun volgende stap na te denken.
buildtoolbar_popup_obj_smallbench	Om op te zitten.
buildtoolbar_popup_obj_smalltable	Om aan te eten.
buildtoolbar_popup_obj_showerpillar	Om in het midden van een doucheruimte te zetten en dan aan elke kant een douchekop te bevestigen.


buildtoolbar_popup_obj_doorMat	Een goedkope rubbermat die goed zou staan voor een deur.


buildtoolbar_popup_obj_guardPavilion	Plaats in luchtplaatsen en open gebieden zodat bewakers en gewapende bewakers je gevangenen in de gaten kunnen houden.\n	Wijs in het menu Werk bewakers toe.\n -Verhoogt de mate van Onderdrukking in dat gebied.\n -Bewakers kunnen schuilen voor het weer.
buildtoolbar_popup_obj_guardPavilionCorner	Plaats inde hoeken van luchtplaatsen en open gebieden zodat bewakers en gewapende bewakers je gevangenen in de gaten kunnen houden.\n	Wijs in het menu Werk bewakers toe.\n -Verhoogt de mate van Onderdrukking in dat gebied.\n -Bewakers kunnen schuilen voor het weer.

buildtoolbar_popup_obj_officeChair	Een stoel voor personeel om in het midden aan een bureau te zitten.




















buildtoolbar_popup_obj_visitorDoor	Een deur waar bezoekers aan de gevangenis door kunnen lopen, zonder dat een bewaker de deur hoeft te openen. Bewakers en personeel mogen de deur ook gebruiken, maar gevangenen niet.
buildtoolbar_popup_obj_ironingBoardShort	Een kortere strijkplank.
buildtoolbar_popup_obj_fencegatestaff	Een poort die geweldig staat in hekken en net zo werkt als een deur.
buildtoolbar_popup_obj_fencegatestandard	Een poort die geweldig staat in hekken en net zo werkt als een deur.
buildtoolbar_popup_obj_fencegatevisitor	Een poort die geweldig staat in hekken en net zo werkt als een deur.












buildtoolbar_popup_obj_walllight	Een bunkerlamp voor op een muur.
buildtoolbar_popup_obj_securedoor	Een deur met een etensluik, speciaal voor isoleercellen. Bewakers die eten brengen kunnen het dienblad door de deur aanreiken zonder dat ze de cel binnen hoeven te gaan.


interfacedeployment_guards	Bewakers toewijzen
buildtoolbar_deployment_Guards	Wijs bewakers toe aan sectoren in je gevangenis.

interfacedeployment_Dogs	Wijs hondentrainers toe
buildtoolbar_deployment_Dogs	Wijs hondentrainers toe aan sectoren in je gevangenis.

interfacedeployment_ArmedGuards	Gewapende bewakers toewijzen
buildtoolbar_deployment_ArmedGuards	Wijs gewapende bewakers toe aan sectoren in je gevangenis.

interfacedeployment_patrols	Bewakers toewijzen
buildtoolbar_deployment_Patrols	Wijs bewakers toe aan de patrouilleroutes in je gevangenis.

interfacedeployment_dogpatrols	Wijs hondentrainers toe
buildtoolbar_deployment_DogPatrols	Wijs hondentrainers toe aan de patrouilleroutes in je gevangenis.

interfacedeployment_armedpatrols	Gewapende bewakers toewijzen
buildtoolbar_deployment_ArmedPatrols	Wijs gewapende bewakers toe aan de patrouilleroutes in je gevangenis.

buildtoolbar_popup_help_Guards_1	Met de tool Bewakers kun je bewakers op post zetten in zones. Een bewaker die op post staat, wandelt willekeurig rond in de toegewezen zone en voert daar alle taken van bewakers uit, zoals het openen van deuren.\n\n
buildtoolbar_popup_help_Guards_2	~Klik links om het aantal ingezette hondentrainers in een zone te verhogen. Klik rechts om een bewaker te verwijderen.\n\n
buildtoolbar_popup_help_Guards_3	^Tips
buildtoolbar_popup_help_Guards_4	- Als je Micromanagement hebt ontgrendeld, heb je toegang tot de Taakplanner. Hiermee kun je een tijdschema maken van wanneer bewakers aan bepaalde zones zijn toegewezen. Bijvoorbeeld, Als je alleen bewakers wilt inzetten in de kantine tijdens de maaltijden, kun je op elk blok in het schema klikken dat overeenkomt met etenstijd, en vervolgens de tijdregelaar in dat blok verplaatsen en op je kantine klikken om bewakers toe te wijzen.
buildtoolbar_popup_help_Guards_5	- Er zijn 9 verschillende tijdsblokken beschikbaar in het schema, plus de standaardmodus Altijd actief, waarmee je complexe inzetroutines kunt maken volgens de behoeften van je gevangenis.
buildtoolbar_popup_help_Guards_6	- Als je niet handmatig een tijdsblok selecteert wanneer je hondentrainers toewijst, gebruikt de planner de huidige tijd. Zorg er dus voor dat je de juiste tijd kiest wanneer je wijzigingen maakt!

buildtoolbar_popup_help_Dogs_1	Met de tool Hondentrainers kun je hondentrainers op post zetten in zones. Een bewaker die op post staat, wandelt willekeurig rond in de toegewezen zone en voert daar alle taken van bewakers uit, zoals het openen van deuren.\n\n
buildtoolbar_popup_help_Dogs_2	~Klik links om het aantal ingezette hondentrainers in een zone te verhogen. Klik rechts om een hondentrainer te verwijderen.\n\n
